ID	entrezID
SFRP2	6423
OSR2	116039
ELF3	1999
HMP19	NA
PI16	221476
TNFSF18	8995
IFIT1B	439996
ANKRD33	341405
C10orf10	NA
JPH2	57158
TPH2	121278
HSF5	124535
PDE2A	5138
C5orf47	133491
PNMA2	10687
CBR3	874
TMCC2	9911
ASAP3	55616
RUNDC3A	10900
KLRD1	3824
THEM5	284486
HMOX1	3162
TCP11L2	255394
TMEM119	338773
PTPN14	5784
ARG1	383
ITGB5	3693
TREML3	NA
C15orf26	NA
KRT1	3848
TMEM158	25907
SPINK4	27290
MIAT	440823
MIR451A	574411
BCL6	604
NUAK1	9891
CYP4F3	4051
GZMM	3004
CDKN2B	1030
CALB2	794
B3GNT8	374907
CHRM4	1132
TLCD2	727910
TG	7038
GULP1	51454
GNGT2	2793
RRAD	6236
NRXN3	9369
GPR37L1	9283
MIR27A	407018
FGF19	9965
SP6	80320
TRPC4	7223
PCSK1N	27344
PTPRF	5792
NR2F1	7025
ARL4A	10124
CLEC2B	9976
ABCA8	10351
COLEC11	78989
DLGAP2	9228
SDS	10993
DUSP5	1847
UPK1A	11045
TECTA	7007
LOC148696	148696
CYP3A4	1576
KIAA1324	NA
CYP4F12	66002
RSAD2	91543
TMEM88	92162
BTLA	151888
MIR22HG	84981
SRSF12	135295
C1orf116	79098
ALS2CR12	NA
MICALCL	NA
ARHGAP27	201176
SYNPO2L	79933
GDF15	9518
CRHBP	1393
SERPINC1	462
PAPPA	5069
TMPRSS11F	389208
HIST1H1C	NA
GJC2	57165
UST	10090
MAP2	4133
TGM5	9333
BIRC3	330
CPEB4	80315
ELAVL3	1995
CSDC2	27254
SESN3	143686
MGP	4256
REM2	161253
BPGM	669
SLC6A19	340024
PIK3IP1	113791
RNF175	285533
TRIM58	25893
RIOK3	8780
HBE1	3046
FTCD	10841
EML1	2009
LRRC2	79442
KIAA0319	9856
OR2T33	391195
ABLIM1	3983
KIAA1683	NA
C19orf77	NA
SLC6A18	348932
MERTK	10461
CILP	8483
PRPH2	5961
GABARAPL1	23710
LOC730227	NA
TBCEL	219899
FOXI1	2299
MYO5B	4645
MIR4742	100616468
IL10RA	3587
MIR29B2	407025
TUFT1	7286
VIL1	7429
CDKN2D	1032
ACSL6	23305
CHRNA2	1135
BCL2L1	598
SGIP1	84251
ROPN1L	83853
LOC643406	643406
UBE2H	7328
ERRFI1	54206
MIR144	406936
SYNC	81493
C3orf65	NA
C5orf41	NA
HCN2	610
FBXO30	84085
CYP4F24P	388514
ACTA2	59
IHH	3549
RASGEF1B	153020
PLCL2	23228
HRASLS5	NA
OR13A1	79290
GPR3	2827
LOC100287036	100287036
SLC14A1	6563
GPR15	2838
TNS1	7145
SERPINF2	5345
LOC100131257	100131257
PLEKHA6	22874
ABCC3	8714
FHDC1	85462
VSIG1	340547
ABCC13	150000
HBA2	3040
PLEK2	26499
ANKRD55	79722
CNTD2	NA
NSUN3	63899
PTK2B	2185
ANKRD9	122416
DCAF12	25853
WDR26	80232
TRIM2	23321
TMEM86A	144110
CRYM	1428
PDZK1IP1	10158
CASQ1	844
LOC149837	NA
ACRC	NA
C2CD4D	100191040
IL1R1	3554
HBA1	3039
SCRT2	85508
FGF8	2253
MAFA	389692
VGF	7425
LOC643339	643339
HIST3H2A	NA
CD8A	925
GABARAPL3	23766
CXorf36	NA
IL6ST	3572
IGSF22	283284
C11orf85	NA
LOC100505702	NA
CXCL2	2920
CDC42EP1	11135
EBF1	1879
ERBB3	2065
FAM46C	NA
C3orf58	NA
BMP6	654
FAM124A	220108
LOC643401	NA
GPX3	2878
RHBDF1	64285
PNRC1	10957
PXT1	222659
MIR130A	406919
OR2W3	343171
ARRDC2	27106
MIR4732	100616385
CCDC24	149473
TREML4	285852
TREML2	79865
TTC39A	22996
KCNN3	3782
KIAA0232	9778
CLIC2	1193
OLFML3	56944
EGR1	1958
TUBA4A	7277
FAM71A	NA
HIST3H2BB	NA
RASD2	23551
HIST1H3H	NA
ATG14	22863
C17orf103	NA
ERMN	57471
RNF11	26994
YPEL3	83719
R3HDM4	91300
POU2F2	5452
C2orf61	NA
SEPP1	NA
LGALSL	29094
TMC5	79838
MAP1A	4130
PPBP	5473
NCOA4	8031
CYP4F2	8529
C7orf53	NA
LINC00346	NA
LPIN2	9663
PRRT3	285368
TRAF1	7185
LINC00266-1	NA
LOC100128164	NA
TCEANC	170082
LOC84989	NA
LOC100507066	NA
NEFM	4741
LOC127841	NA
FOXO3	2309
ACP5	54
ASAH2	56624
SLCO2B1	11309
CADM3	57863
OASL	8638
KRT18	3875
MXI1	4601
YOD1	55432
KLF5	688
IGJ	NA
PHOSPHO1	162466
GBP2	2634
ATP1A3	478
MYO18B	84700
DIRC3	729582
ZFAND5	7763
C1orf61	NA
VASN	114990
MAPK13	5603
OSGIN1	29948
FAM177B	400823
RHOB	388
E2F2	1870
ZNF185	7739
CNPPD1	27013
EPS8L3	79574
ZNF423	23090
POU5F1P3	642559
CREB3L1	90993
NLRP6	171389
DLX2	1746
VWA7	80737
FAM214B	NA
SLC43A2	124935
CLMN	79789
FAM3C	10447
LOC100128071	NA
HDAC5	10014
SNX24	28966
PF4	5196
ARC	23237
XPO7	23039
ANKRD26P1	124149
C10orf105	414152
SERTAD1	29950
GPCPD1	56261
PNKD	25953
FAM110B	90362
HEXIM1	10614
TSC22D3	1831
C14orf45	NA
HBM	3042
PRDM1	639
C5	727
SLFN14	342618
HIST1H1T	NA
OR1L8	138881
LOC100129046	NA
TSSK3	81629
UBAP1	51271
LGALS2	3957
HEPACAM2	253012
PLA2G16	NA
OR2T8	343172
NINJ2	4815
GBP3	2635
STK17B	9262
MIR23A	407010
ABLIM3	22885
CCNG2	901
HIST1H2AC	NA
HBB	3043
MAST3	23031
GPR183	1880
RBM38	55544
LARP6	55323
LOC646329	NA
FAM111B	374393
PTPRH	5794
SRC	6714
COX4I2	84701
KCNK1	3775
RNF10	9921
UBXN6	80700
ESPN	83715
KISS1R	84634
RGAG1	NA
CDKN1A	1026
IRAK2	3656
SERPINE1	5054
MICAL2	9645
MAP3K15	389840
MYLK	4638
AP1M2	10053
VSTM5	387804
GADD45A	1647
HNF4A	3172
KLF2	10365
STYK1	55359
GMPR	2766
RASD1	51655
ABHD4	63874
MIR3189	100422943
CASP4	837
FLJ42709	NA
FANK1	92565
SPDEF	25803
SH3BGRL3	83442
XIRP2	129446
DDIT3	1649
SLC25A47	283600
NANOS3	342977
RAP1GAP	5909
MKRN1	23608
ABI3	51225
PPP1R14C	81706
GPR146	115330
MKRN9P	400058
IBA57	200205
PNPLA2	57104
HIST1H2BD	NA
ARG2	384
MAFF	23764
RHD	6007
SCARA5	286133
KIAA0513	9764
FITM1	161247
ZSCAN4	201516
HPD	3242
HIST2H2BE	NA
MIR101-1	406893
RGS9	8787
SLC2A1	6513
ADIPOR1	51094
STK17A	9263
UNC5B	219699
TES	26136
BIRC2	329
SLC6A12	6539
PLS3	5358
LHX3	8022
PNMA1	9240
TMEM40	55287
LOC100128292	NA
MALAT1	378938
LOC100507373	NA
DYSF	8291
SLC8A2	6543
PVRL4	NA
APOBEC3A	200315
TRIB3	57761
UBE2B	7320
SCGN	10590
SLC22A1	6580
SELENBP1	8991
KLC3	147700
UBR2	23304
CDKL1	8814
MIR29C	407026
SERTAD2	9792
MFAP3L	9848
OR10H2	26538
TTYH2	94015
SLC25A37	51312
CLEC1B	51266
PLSCR1	5359
NIN	51199
PIM1	5292
MIR4656	100616465
WDR86	349136
ABTB2	25841
FAM55A	NA
LY6G6C	80740
CRB1	23418
SNTA1	6640
USP1	7398
OR2AK2	391191
CDR2	1039
ADAM12	8038
WWC3	55841
SLC13A4	26266
CLN8	2055
FMNL2	114793
C17orf98	388381
OR2AT4	341152
CCDC17	149483
PCSK6	5046
CHIT1	1118
HLA-A	3105
YPEL4	219539
LINC00299	339789
LRRC31	79782
VWF	7450
8-Mar	NA
GUCY2E	NA
ATF3	467
SEC14L1	6397
CD163L1	283316
SEMA3E	9723
LOC441455	441455
CD69	969
SIAH2	6478
HBP1	26959
HPSE	10855
BEND7	222389
RAPGEF2	9693
PINK1	65018
SNORA11	677799
ZNF746	155061
ANKRD53	79998
LOC100134229	NA
CD274	29126
FBXO32	114907
B4GALT3	8703
LRRC73	221424
TERF2IP	54386
FFAR3	2865
C9orf131	138724
FOS	2353
SLC6A13	6540
C1orf35	79169
HBG1	3047
ABTB1	80325
TSPAN5	10098
ANXA3	306
FZR1	51343
IL36B	27177
RNF19A	25897
LOC100505783	NA
BCAM	4059
